product_id,name,price_current,price_original,currency,badges,specs,url,image
8886,Infinix GT30 8GB Shadow Ash 256GB,699.00,809.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.78"" | SIM-kart sayı Nano-SIM + Nano-SIM | Ekran icazəsi 1224 x 2720 | Ekran növü AMOLED | Prosessor növü Mediatek Dimensity 7400 Ultra (4 nm)",https://bytelecom.az/az/products/infinix-gt30-8gb-256gb,https://bytelecom.az//media/2026/02/12/product_images/43383/infinix-gt-30.webp
8885,Honor Magic7 12GB Black 256GB,1499.00,2199.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.78"" | Operativ yaddaş 12 GB | SIM-kart sayı Nano-SIM + Nano-SIM | Ekran icazəsi 1264 x 2800 | Ekran növü LTPO OLED",https://bytelecom.az/az/products/honor-magic7-12gb-256gb,https://bytelecom.az//media/2026/02/12/product_images/43329/honor_magic7_black.png
8882,HONOR X8d (8GB RAM) Velvet Grey 128GB,499.00,599.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.77"" | Operativ yaddaş 8 GB | SIM-kart sayı Nano-SIM + Nano-SIM | Ekran icazəsi 1080 x 2392 | Ekran növü AMOLED",https://bytelecom.az/az/products/honor-x8d-8gb-ram,https://bytelecom.az//media/2026/02/11/product_images/43286/x8d-velvet-gray-1.jpg
8881,Motorola Edge 60 Fusion 5G 12GB 256GB Slipstream (Grey) Boz,809.00,899.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al | Yeni,Operativ yaddaş 12 GB | Ekran icazəsi 1220 x 2712 | Daxili yaddaş 256GB | Əsas kamera 32 MP f/2.2 | Akkumulyatorun həcmi 5200 mAh,https://bytelecom.az/az/products/motorola-edge-60-fusion-5g-12gb-256gb-slipstream-grey,https://bytelecom.az//media/2026/02/05/product_images/43265/MPHMOT117003.jpg
8880,Motorola moto G86 Power 5G 8GB 512GB Spellbound (Grey) Boz,769.00,849.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al | Yeni,Operativ yaddaş 8GB | Ekran icazəsi 1220 x 2712 | Daxili yaddaş 512 GB | Prosessor növü Mediatek Dimensity 7300 Ultra (4 nm) | Ön kamera 32MP (f/2.2),https://bytelecom.az/az/products/motorola-moto-g86-power-5g-8gb-512gb-spellbound-grey,https://bytelecom.az//media/2026/02/05/product_images/43263/p2Z3Xug7IvxPhAx481qXGKbQ6T2T3GH9ByJGcvna.png
8879,Motorola moto G56 5G 12GB 256GB Green 256GB,569.00,639.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al | Yeni,"Ekran ölçüsü 6.72"" | Operativ yaddaş 12 GB | Ekran icazəsi 1080 x 2400 | Daxili yaddaş 256GB | Akkumulyatorun həcmi 5200 mAh",https://bytelecom.az/az/products/motorola-moto-g56-5g-12gb-256gb-black-oyster,https://bytelecom.az//media/2026/02/05/product_images/43261/Motorola-Moto-G56-5G-12GB-_-256GB---Dill-Green_aab353cf-cc0d-4c76-912a-b9fa143f98b7.jpg
8878,Motorola moto G15 NFC 8GB 256GB Gravity Grey Green,379.00,429.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al | Yeni,"Ekran ölçüsü 6.72"" | Operativ yaddaş 8 GB | SIM-kart ölçüsü Nano-SIM | Ekran icazəsi 1080 x 2400 | Daxili yaddaş 256GB",https://bytelecom.az/az/products/smartfon-motorola-moto-g15-nfc-8gb-256gb-gravity-grey,https://bytelecom.az//media/2026/02/05/product_images/43251/gr.webp
8877,Motorola moto G06 Power NFC 8GB 256GB TAPESTRY Blue,359.00,399.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al | Yeni,"Ekran ölçüsü 6.88"" | Operativ yaddaş 8 GB | SIM-kart ölçüsü Nano-SIM | Ekran icazəsi 720 x 1640 | Daxili yaddaş 256GB",https://bytelecom.az/az/products/smartfon-motorola-moto-g06-power-nfc-8gb-256gb-tapestry-blue,https://bytelecom.az//media/2026/02/05/product_images/43242/blue.webp
8832,Xiaomi Redmi Note 15 Pro NFC (8GB RAM) Titanium 256GB,719.00,809.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.83"" | Operativ yaddaş 8 GB | Ekran icazəsi 1280 x 2772 | Ekran növü AMOLED | Prosessor növü Mediatek Dimensity 7400 Ultra (4 nm)",https://bytelecom.az/az/products/xiaomi-redmi-note-15-pro-nfc-8gb-ram,https://bytelecom.az//media/2026/01/14/product_images/42982/note-15-pro-titanium-1.jpg
8831,Xiaomi Redmi Note 15 (8GB RAM) Black 256GB,549.00,659.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.77"" | Operativ yaddaş 8 GB | Ekran icazəsi 1080 x 2392 | Ekran növü AMOLED | Prosessor növü Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm)",https://bytelecom.az/az/products/xiaomi-redmi-note-15-8gb-ram,https://bytelecom.az//media/2026/01/14/product_images/42970/redmi-note-15-black-1.jpg
8782,Samsung Galaxy A17 (8GB RAM) Grey 256GB,479.00,559.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,Ekran ölçüsü 6.7'' | Operativ yaddaş 8 GB | Ekran icazəsi 1080 x 2340 | Ekran növü Super Amoled | Prosessor növü Exynos 1330 (5 nm),https://bytelecom.az/az/products/samsung-galaxy-a17-8gb-ram,https://bytelecom.az//media/2026/01/20/product_images/43082/a17-gray-1.jpg
8774,Xiaomi Redmi 15 NFC (6GB RAM) Grey 128GB,339.00,399.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.9"" | Operativ yaddaş 6 GB | Ekran icazəsi 1080 x 2340 | Ekran növü IPS LCD | Prosessor növü Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm)",https://bytelecom.az/az/products/xiaomi-redmi-15-nfc-6gb-ram,https://bytelecom.az//media/2025/12/10/product_images/42516/redmi-15-gray-1.jpg
8772,Xiaomi 15T NFC (12GB RAM) Grey 256GB,1029.00,1149.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.83"" | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1280 x 2772 | Ekran növü AMOLED",https://bytelecom.az/az/products/xiaomi-15t-nfc-12gb-ram,https://bytelecom.az//media/2025/12/10/product_images/42472/15t-gray-1.jpg
8771,Samsung Galaxy S25 FE 5G NFC (8GB RAM),1149.00,1609.00,AZN,Taksitlə al | Stokda Yoxdur,Ekran ölçüsü 6.7'' | Operativ yaddaş 8 GB | Ekran icazəsi 1080 x 2340 | Ekran növü Dynamic LTPO AMOLED 2X | Prosessor növü Exynos 2400 (4 nm),https://bytelecom.az/az/products/samsung-galaxy-s25-fe-5g-nfc-8gb-ram,https://bytelecom.az//media/2025/12/10/product_images/42450/s25-fe-jet-black-1.jpg
8689,HONOR X9d NFC (12GB RAM) Forest Green 256GB,829.00,999.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.79"" | Operativ yaddaş 12 GB | Ekran icazəsi 1200 x 2640 | Ekran növü AMOLED | Prosessor növü Qualcomm Snapdragon 6 Gen 4 (4 nm)",https://bytelecom.az/az/products/honor-x9d-nfc-12gb-ram,https://bytelecom.az//media/2025/11/07/product_images/41863/x9d-forest-green-1.jpg
8688,HONOR X9d NFC (8GB RAM) Reddish Brown 256GB,819.00,899.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.79"" | Operativ yaddaş 8 GB | Ekran icazəsi 1200 x 2640 | Ekran növü AMOLED | Prosessor növü Qualcomm Snapdragon 6 Gen 4 (4 nm)",https://bytelecom.az/az/products/honor-x9d-nfc-8gb-ram,https://bytelecom.az//media/2025/11/07/product_images/41811/x9d-reddish-1.jpg
8682,iPhone 17 Pro Max,5699.00,6339.00,AZN,Stokda Yoxdur | Yeni,"Ekran ölçüsü 6.9"" | Operativ yaddaş 12 GB | SIM-kart ölçüsü eSim | Ekran icazəsi 2868 × 1320 | Ekran növü Super Retina XDR OLED",https://bytelecom.az/az/products/iphone-17-pro-max-3,https://bytelecom.az//media/2025/11/07/product_images/41749/17-pro-max-cosmic-orange-1.jpg
8634,iPhone Air Sky Blue 1TB,3689.00,4529.00,AZN,Taksitlə al | Yeni,Ekran ölçüsü 6.5'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü eSim | Ekran icazəsi 2736 × 1260 | Ekran növü Super Retina XDR OLED,https://bytelecom.az/az/products/iphone-air-1,https://bytelecom.az//media/2025/10/24/product_images/41468/iphone-air-sky-blue-1.jpg
8633,iPhone Air Sky Blue 256GB,2559.00,3279.00,AZN,Taksitlə al | Yeni,Ekran ölçüsü 6.5'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü eSim | Ekran icazəsi 2736 × 1260 | Ekran növü Super Retina XDR OLED,https://bytelecom.az/az/products/iphone-air,https://bytelecom.az//media/2025/10/24/product_images/41448/iphone-air-sky-blue-1.jpg
8632,iPhone 17 Mist blue 256GB,2369.00,2619.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,Ekran ölçüsü 6.3'' | Operativ yaddaş 8 GB | SIM-kart ölçüsü eSim | Ekran icazəsi 2622 × 1206 | Ekran növü Super Retina XDR OLED,https://bytelecom.az/az/products/iphone-17,https://bytelecom.az//media/2025/11/14/product_images/41905/iphone-17-mist-blue-1.jpg
8631,iPhone 17 Pro Cosmic Orange 256GB,3249.00,3599.00,AZN,Taksitlə al | Yeni,Ekran ölçüsü 6.3'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü eSim | Ekran icazəsi 2622 × 1206 | Ekran növü Super Retina XDR OLED,https://bytelecom.az/az/products/iphone-17-pro-2,https://bytelecom.az//media/2025/10/24/product_images/41478/17-pro-cosmic-orange-1.jpg
8630,iPhone 17 Pro,4339.00,4799.00,AZN,Stokda Yoxdur | Yeni,Ekran ölçüsü 6.3'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü eSim | Ekran icazəsi 2622 × 1206 | Ekran növü Super Retina XDR OLED,https://bytelecom.az/az/products/iphone-17-pro-1,https://bytelecom.az//media/2025/10/24/product_images/41368/17-pro-silver-1.jpg
